experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:40,2014-04-01,2014-03-31,2014-03-31,bottleneck_momentum,40,484,307,40,True,17491837.27140002,17457640.10593768,22798110.30822754,1.3033571004861524
bottleneck_momentum:40,2014-07-01,2014-06-30,2014-06-30,bottleneck_momentum,40,484,302,40,True,18435613.951563034,18406104.97267296,19672652.593380533,1.0671004852383892
bottleneck_momentum:40,2014-10-01,2014-09-30,2014-09-30,bottleneck_momentum,40,485,250,40,True,17667901.325117804,17631654.53867796,24164524.293229077,1.3677076778143007
bottleneck_momentum:40,2015-01-02,2014-12-31,2014-12-31,bottleneck_momentum,40,485,250,40,True,18784506.645928465,18746247.27852683,25506244.934422053,1.3578341670181966
bottleneck_momentum:40,2015-04-01,2015-03-31,2015-03-31,bottleneck_momentum,40,488,244,40,True,19680849.378612187,19654043.444984753,17870622.418289557,0.9080208925184976
bottleneck_momentum:40,2015-07-01,2015-06-30,2015-06-30,bottleneck_momentum,40,485,230,40,True,19951236.221797105,19922368.107261833,19245409.690181848,0.9646224161867158
bottleneck_momentum:40,2015-10-01,2015-09-30,2015-09-30,bottleneck_momentum,40,481,210,40,True,19319668.421427682,19291417.19146242,18834153.31017418,0.9748693869551606
bottleneck_momentum:40,2016-01-04,2015-12-31,2015-12-31,bottleneck_momentum,40,481,208,40,True,20162442.648214124,20143647.020696703,12530418.34494727,0.6214732293885604
bottleneck_momentum:40,2016-04-01,2016-03-31,2016-03-31,bottleneck_momentum,40,483,212,40,True,20996586.10836918,20966037.47582491,20365755.029512305,0.9699555406006967
bottleneck_momentum:40,2016-07-01,2016-06-30,2016-06-30,bottleneck_momentum,40,484,217,40,True,21102567.072500285,21068505.75374722,22707545.83537663,1.076056091060498
bottleneck_momentum:40,2016-10-03,2016-09-30,2016-09-30,bottleneck_momentum,40,488,219,40,True,20921730.131360646,20880734.278262824,27330568.731881898,1.306324503771068
bottleneck_momentum:40,2017-01-03,2016-12-30,2016-12-31,bottleneck_momentum,40,490,217,40,True,21123831.8855775,21088771.373754814,23373674.548456013,1.1065073171887254
bottleneck_momentum:40,2017-04-03,2017-03-31,2017-03-31,bottleneck_momentum,40,491,228,40,True,22467949.15581226,22432171.638962604,23851677.89977076,1.0615867845508518
